Data,Quantidade Produzida,Quantidade de Maquinas,Quantidade de Trabalhadores,Horas Trabalhadas,Feriado
27/02/2023,8127,8,29,6,0
28/02/2023,6001,6,17,6,0
01/03/2023,8261,12,21,6,0
02/03/2023,8848,8,22,10,0
03/03/2023,7044,6,18,9,0
04/03/2023,9677,10,27,10,0
05/03/2023,7897,10,16,9,0
06/03/2023,11083,14,26,10,0
07/03/2023,9318,8,24,10,0
08/03/2023,10891,10,28,11,0
09/03/2023,6844,6,17,8,0
10/03/2023,9416,14,15,10,0
11/03/2023,8852,6,22,11,0
12/03/2023,10201,14,29,7,0
13/03/2023,7428,8,17,8,0
14/03/2023,10532,12,26,10,0
15/03/2023,10368,11,24,12,0
16/03/2023,8828,13,21,6,0
17/03/2023,9042,12,24,7,0
18/03/2023,7567,9,19,7,0
19/03/2023,8761,6,24,11,0
20/03/2023,7394,9,19,7,0
21/03/2023,9561,12,28,8,0
22/03/2023,10161,14,21,10,0
23/03/2023,11601,13,29,10,0
24/03/2023,10696,13,23,12,0
25/03/2023,7845,5,26,6,0
26/03/2023,10233,13,19,11,0
27/03/2023,7005,11,15,6,0
28/03/2023,9305,13,24,7,0
29/03/2023,10773,12,24,12,0
30/03/2023,5941,5,15,6,0
31/03/2023,10253,12,29,8,0
01/04/2023,9136,12,16,10,0
02/04/2023,10472,15,28,7,0
03/04/2023,8928,7,20,12,0
04/04/2023,6865,5,23,6,0
05/04/2023,10069,12,22,11,0
06/04/2023,8310,7,27,8,0
07/04/2023,5563,7,11,8,1
08/04/2023,5300,5,15,6,0
09/04/2023,11246,15,27,10,0
10/04/2023,7412,9,21,6,0
11/04/2023,10429,14,29,7,0
12/04/2023,8013,11,19,6,0
13/04/2023,9541,14,20,8,0
14/04/2023,11634,13,27,12,0
15/04/2023,7874,11,21,6,0
16/04/2023,9263,13,17,10,0
17/04/2023,11034,12,26,12,0
18/04/2023,8856,6,24,11,0
19/04/2023,6870,5,17,9,0
20/04/2023,7614,11,19,6,0
21/04/2023,7155,11,12,10,1
22/04/2023,10840,12,23,12,0
23/04/2023,9589,9,27,10,0
24/04/2023,9654,7,28,11,0
25/04/2023,9383,12,26,8,0
26/04/2023,9133,10,19,10,0
27/04/2023,12141,15,29,12,0
28/04/2023,7632,7,15,10,0
29/04/2023,9045,5,28,10,0
30/04/2023,9714,7,28,10,0
01/05/2023,6858,9,20,7,1
02/05/2023,6710,7,18,7,0
03/05/2023,6589,5,19,8,0
04/05/2023,7693,9,26,6,0
05/05/2023,10632,14,24,10,0
06/05/2023,10355,11,24,11,0
07/05/2023,7794,11,19,6,0
08/05/2023,10444,15,21,11,0
09/05/2023,8258,13,18,6,0
10/05/2023,8410,14,15,8,0
11/05/2023,11019,14,28,10,0
12/05/2023,9306,7,28,10,0
13/05/2023,8766,11,19,9,0
14/05/2023,7953,5,21,11,0
15/05/2023,7693,8,24,6,0
16/05/2023,7786,8,24,6,0
17/05/2023,7921,9,20,7,0
18/05/2023,8785,11,19,9,0
19/05/2023,9382,11,18,12,0
20/05/2023,10380,15,16,12,0
21/05/2023,6938,8,18,7,0
22/05/2023,9326,11,29,7,0
23/05/2023,9527,15,24,7,0
24/05/2023,8818,7,24,11,0
25/05/2023,8787,10,17,11,0
26/05/2023,8126,6,24,8,0
27/05/2023,9001,14,15,8,0
28/05/2023,8885,13,22,7,0
29/05/2023,8467,9,19,9,0
30/05/2023,8571,10,27,6,0
31/05/2023,8220,8,18,11,0
01/06/2023,10340,15,22,9,0
02/06/2023,10197,14,21,10,0
03/06/2023,9364,11,16,11,0
04/06/2023,9043,13,15,11,0
05/06/2023,10009,11,26,8,0
06/06/2023,7418,5,25,6,0
07/06/2023,6046,5,18,6,0
08/06/2023,10690,13,22,12,0
09/06/2023,11707,15,26,12,0
10/06/2023,9872,13,16,12,0
11/06/2023,8713,8,17,12,0
12/06/2023,10753,13,26,10,0
13/06/2023,7441,7,15,10,0
14/06/2023,9133,11,15,11,0
15/06/2023,9025,10,27,7,0
16/06/2023,8299,12,17,8,0
17/06/2023,10505,15,25,8,0
18/06/2023,9975,13,19,12,0
19/06/2023,10068,9,26,11,0
20/06/2023,6955,5,17,9,0
21/06/2023,6168,7,15,7,0
22/06/2023,9258,14,15,11,0
23/06/2023,8952,12,22,7,0
24/06/2023,9993,15,24,7,0
25/06/2023,8735,10,25,7,0
26/06/2023,11093,12,26,11,0
27/06/2023,11588,13,27,12,0
28/06/2023,9100,8,27,8,0
29/06/2023,8034,5,26,8,0
30/06/2023,9745,5,29,12,0
01/07/2023,9938,14,28,7,0
02/07/2023,7429,8,16,9,0
03/07/2023,8849,11,27,6,0
04/07/2023,8173,6,17,11,0
05/07/2023,6404,7,16,6,0
06/07/2023,8066,5,17,12,0
07/07/2023,8724,9,21,9,0
08/07/2023,7455,5,15,11,0
09/07/2023,10852,12,24,12,0
10/07/2023,6700,5,22,7,0
11/07/2023,10828,15,27,8,0
12/07/2023,6858,5,24,6,0
13/07/2023,8818,6,24,10,0
14/07/2023,8837,6,24,10,0
15/07/2023,9716,10,28,9,0
16/07/2023,7790,11,16,7,0
17/07/2023,6828,9,17,6,0
18/07/2023,7079,5,23,7,0
19/07/2023,6551,5,21,6,0
20/07/2023,7657,7,18,9,0
21/07/2023,8258,6,24,9,0
22/07/2023,8333,9,19,10,0
23/07/2023,8326,14,16,7,0
24/07/2023,10856,10,27,11,0
25/07/2023,9443,11,25,10,0
26/07/2023,8674,8,27,7,0
27/07/2023,9761,11,22,10,0
28/07/2023,10028,15,18,11,0
29/07/2023,9156,12,23,8,0
30/07/2023,9200,15,19,8,0
31/07/2023,8471,5,27,8,0
01/08/2023,8971,10,23,8,0
02/08/2023,10130,12,18,12,0
03/08/2023,7974,9,24,6,0
04/08/2023,9312,8,19,12,0
05/08/2023,9148,6,23,12,0
06/08/2023,10272,10,22,12,0
07/08/2023,7820,10,17,8,0
08/08/2023,9714,15,15,11,0
09/08/2023,7312,5,17,9,0
10/08/2023,9096,13,18,9,0
11/08/2023,8070,15,16,6,0
12/08/2023,7368,10,15,8,0
13/08/2023,7519,7,21,8,0
14/08/2023,8269,8,22,8,0
15/08/2023,10380,15,21,10,0
16/08/2023,9110,8,28,7,0
17/08/2023,8337,7,19,10,0
18/08/2023,9901,14,26,7,0
19/08/2023,7081,7,15,8,0
20/08/2023,7601,7,21,8,0
21/08/2023,9179,8,27,10,0
22/08/2023,9202,11,21,10,0
23/08/2023,7929,8,23,7,0
24/08/2023,8905,13,17,9,0
25/08/2023,7315,5,23,7,0
26/08/2023,10675,12,28,10,0
27/08/2023,9000,11,15,11,0
28/08/2023,7550,6,15,10,0
29/08/2023,11024,12,28,11,0
30/08/2023,6161,5,18,6,0
31/08/2023,10349,15,23,10,0
01/09/2023,8325,13,20,6,0
02/09/2023,10204,13,27,9,0
03/09/2023,7729,6,25,7,0
04/09/2023,9197,11,17,11,0
05/09/2023,8247,14,15,7,0
06/09/2023,6454,7,18,6,0
07/09/2023,8960,11,20,11,1
08/09/2023,9746,14,27,7,0
09/09/2023,9934,13,23,10,0
10/09/2023,7681,8,17,8,0
11/09/2023,7109,5,26,6,0
12/09/2023,7211,6,23,7,0
13/09/2023,6961,5,21,6,0
14/09/2023,10547,9,26,12,0
15/09/2023,8431,9,28,6,0
16/09/2023,11994,15,29,11,0
17/09/2023,10039,11,18,12,0
18/09/2023,9788,13,17,11,0
19/09/2023,9907,13,24,8,0
20/09/2023,10461,7,29,12,0
21/09/2023,8286,7,19,10,0
22/09/2023,6708,7,19,6,0
23/09/2023,7002,8,17,7,0
24/09/2023,10103,12,26,9,0
25/09/2023,8197,10,23,6,0
26/09/2023,7743,12,18,6,0
27/09/2023,7824,5,25,8,0
28/09/2023,9288,12,19,10,0
29/09/2023,7873,8,18,9,0
30/09/2023,10550,15,19,12,0
01/10/2023,9121,5,21,12,0
02/10/2023,10503,12,23,12,0
03/10/2023,8928,8,21,11,0
04/10/2023,10236,10,27,11,0
05/10/2023,8423,12,19,7,0
06/10/2023,8711,8,24,9,0
07/10/2023,9357,7,24,12,0
08/10/2023,10381,13,21,11,0
09/10/2023,8558,7,28,7,0
10/10/2023,11087,13,29,10,0
11/10/2023,7417,6,24,7,0
12/10/2023,9638,6,15,11,1
13/10/2023,6918,6,17,8,0
14/10/2023,8195,10,21,8,0
15/10/2023,10283,7,27,12,0
16/10/2023,9629,13,25,8,0
17/10/2023,10498,8,25,12,0
18/10/2023,7866,5,16,12,0
19/10/2023,10403,8,29,11,0
20/10/2023,7534,5,26,8,0
21/10/2023,9643,9,23,12,0
22/10/2023,9017,8,24,9,0
23/10/2023,10164,12,24,10,0
24/10/2023,9758,12,26,7,0
25/10/2023,7547,11,15,7,0
26/10/2023,9679,7,27,11,0
27/10/2023,7393,5,20,8,0
28/10/2023,7402,5,21,8,0
29/10/2023,12111,15,28,12,0
30/10/2023,7681,7,27,6,0
31/10/2023,9526,10,22,12,0
01/11/2023,9762,11,24,10,0
02/11/2023,5863,10,16,9,1
03/11/2023,7870,10,16,7,0
04/11/2023,10320,10,25,12,0
05/11/2023,7314,7,24,6,0
06/11/2023,6696,10,16,6,0
07/11/2023,9997,12,19,12,0
08/11/2023,11517,15,27,11,0
09/11/2023,9398,15,19,7,0
10/11/2023,8384,6,20,11,0
11/11/2023,7948,9,17,9,0
12/11/2023,6623,5,22,6,0
13/11/2023,7557,5,27,6,0
14/11/2023,7910,9,15,10,0
15/11/2023,6033,7,14,9,1
16/11/2023,7123,8,18,6,0
17/11/2023,7242,7,15,9,0
18/11/2023,8000,5,29,7,0
19/11/2023,7009,5,21,8,0
20/11/2023,7745,9,23,6,0
21/11/2023,10163,10,27,10,0
22/11/2023,6593,7,18,7,0
23/11/2023,10316,13,18,12,0
24/11/2023,8442,9,20,9,0
25/11/2023,11070,12,26,12,0
26/11/2023,9318,5,29,11,0
27/11/2023,7155,9,17,7,0
28/11/2023,10119,7,27,12,0
29/11/2023,7224,5,26,6,0
30/11/2023,8050,8,20,9,0
01/12/2023,8294,9,21,8,0
02/12/2023,9052,11,25,7,0
03/12/2023,6700,5,24,6,0
04/12/2023,8964,7,24,10,0
05/12/2023,8400,6,17,11,0
06/12/2023,9644,13,21,9,0
07/12/2023,9810,14,28,7,0
08/12/2023,7535,10,17,7,0
09/12/2023,9984,14,27,8,0
10/12/2023,9233,7,27,8,0
11/12/2023,9347,12,16,10,0
12/12/2023,10617,12,26,11,0
13/12/2023,8751,6,28,10,0
14/12/2023,8024,10,24,6,0
15/12/2023,7514,11,18,6,0
16/12/2023,8948,6,26,10,0
17/12/2023,8886,15,19,6,0
18/12/2023,9012,9,22,10,0
19/12/2023,9725,6,29,11,0
20/12/2023,8846,10,20,10,0
21/12/2023,8407,5,21,12,0
22/12/2023,8229,12,15,9,0
23/12/2023,9659,10,21,11,0
24/12/2023,8974,13,20,7,0
25/12/2023,8681,13,15,11,1
26/12/2023,9557,9,24,11,0
27/12/2023,8423,9,23,8,0
28/12/2023,8214,12,20,7,0
29/12/2023,8071,9,22,8,0
30/12/2023,8877,14,15,8,0
31/12/2023,9431,7,23,12,0
